#	timestep	msd
984	30.30780037
985	30.40070672
986	30.49154428
987	30.57999872
988	30.66565782
989	30.74802924
990	30.82657356
991	30.90077282
992	30.97035002
993	31.03551986
994	31.09710762
995	31.15631209
996	31.21432631
997	31.27213722
998	31.33059554
999	31.39033281
